Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
Denver Facewash Deep Clean 100G 225/-,0,720,0,0,0,0,0,0,0,0,0,0
Denver Facewash Oil Clear 100G 225/-,0,720,0,0,0,0,0,0,0,0,0,0
Denver Hamilton Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Imperial Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Perfume Blackcode 70ml 349/-,0,0,0,0,0,0,0,0,0,1824,1200,0
Denver Victor Deo Cap,0,0,0,0,25,0,0,0,0,0,0,0
EARTHFRESH BROWN CHANA 500G POUCH,0,0,0,0,0,0,0,0,300,60,120,0
EARTHFRESH CHANA BESAN 500G POUCH,0,0,0,0,0,0,0,0,240,0,60,0
EARTHFRESH CHANA DAL 500G POUCH,0,0,0,0,0,0,0,0,0,0,240,0
EARTHFRESH GOBINDO BHOG RICE 1KG,0,0,0,0,0,0,0,0,0,0,270,0
EARTHFRESH GREEN MOONG 500G POUCH,0,0,0,0,0,0,0,0,300,60,60,0
EARTHFRESH KABULI CHANA 500G POUCH,0,0,0,0,0,0,0,0,420,100,120,0
EARTHFRESH KASHMIRI RAJMA 500G POUCH,0,0,0,0,0,0,0,0,240,60,60,0
EARTHFRESH MASOOR MALKA 500G POUCH,0,0,0,0,0,0,0,0,360,60,120,0
EARTHFRESH MATAR 500G POUCH,0,0,0,0,0,0,0,0,360,60,90,0
EARTHFRESH MOONG DAL 500G POUCH,0,0,0,0,0,0,0,0,240,60,120,0
EARTHFRESH TOOR DAL 1KG,0,0,0,0,0,0,0,0,240,60,60,0
EARTHFRESH URAD DAL 500G POUCH,0,0,0,0,0,0,0,0,180,60,60,0
Envy Perfume Men 70ml Black 349/-,0,0,0,0,1200,1200,2256,0,1440,624,0,0
Envy Perfume Women 70ml White 349/-,0,0,0,0,1200,0,0,1344,0,720,0,0
EVA BODY SPRAY DOLL 150ML,18,0,0,1104,0,0,607,0,0,24,0,0
EVA BODY SPRAY FRESH 125ML,1515,12,21,603,612,0,12,618,9,3,6,0
EVA BODY SPRAY FRESH 150ML,204,24,0,360,0,0,1212,0,0,24,0,0
EVA BODY SPRAY SWEET 150ML,0,24,0,0,0,0,12,0,0,24,0,0
EVA BODY SPRAY WILD 150ML,204,24,0,360,0,0,1212,0,0,0,0,0
EVA DEO SPRAY BLUSH 125ML,18,24,9,0,3,0,3,6,3,12,0,0
EVA DEO SPRAY COMBI 125ML 285/-,6,131,69,36,63,60,78,6,24,12,81,0
EVA DEO SPRAY COMBI 150ML,9,0,51,12,42,0,0,96,39,9,0,0
EVA DEO SPRAY COMBI 2G1 150ML 400/,18,112,80,388,57,31,64,74,33,25,60,0
EVA DEO SPRAY DEW 125ML,6,0,0,0,0,0,0,0,0,0,0,0
EVA DEO SPRAY DOLL 125ML,1509,51,12,1806,609,12,9,1215,12,0,6,0
EVA DEO SPRAY DOLL Mini 40ML,0,0,0,360,0,0,0,0,0,0,0,0
EVA DEO SPRAY FLIRT 125ML,15,15,0,0,0,6,0,0,12,6,9,0
EVA DEO SPRAY FRESH Mini 40ML,0,0,0,360,0,0,0,0,0,0,0,0
EVA DEO SPRAY SWEET 125ML,24,21,6,3,3,6,6,6,6,3,0,0
EVA DEO SPRAY URBANE 150ML,0,24,0,0,0,0,0,12,0,0,0,0
EVA DEO SPRAY WILD 125ML,1527,12,21,603,600,0,3,1212,18,0,3,0
EVA DEO SPRAY WILD Mini 40ML,0,0,0,360,0,0,0,0,0,0,0,0
EVA DEO TALC FRESH 100GMS,58,33,0,0,0,0,1,0,0,0,0,0
EVA DEO TALC FRESH 400GMS,36,12,0,0,0,0,0,0,0,0,0,0
EVA DEO TALC SWEET 100GMS,58,33,0,0,0,0,1,0,0,0,0,0
EVA DEO TALC SWEET 400GMS,36,2,0,0,0,0,0,0,0,0,0,0
EVA SHINE DEO ROLL ON 50ML,0,0,0,0,0,0,0,0,6,6,48,0
EVA SOFT DEO ROLL ON 50ML,0,0,0,0,0,0,0,0,6,0,54,0
EVA SPLASH DEO ROLL ON 50ML,0,0,0,0,0,0,0,0,6,6,51,0
FRIENDS ADULT DIAPER PREM LARGE 10S,0,0,6,0,0,0,0,0,0,8,0,0
FRIENDS ADULT DIAPER PREM XL 10S,184,0,0,0,0,0,0,0,0,0,0,0
FRIENDS ADULT DIAPERS EASY LARGE PP 10p,24,0,0,0,12,192,24,60,36,24,24,0
FRIENDS ADULT DIAPERS EASY MEDIUM PP 10p,0,0,1,0,0,482,12,4,53,24,36,0
FRIENDS ADULT DIAPERS EASY XTRA LARGE PP,276,49,0,0,0,8,0,7,0,0,0,0
FRIENDS ADULT DIAPERS ECO LARGE 10s*12,0,0,0,0,0,0,0,0,0,0,12,0
FRIENDS ADULT DIAPERS ECO XL 10s*12,0,0,0,0,0,12,6,5,0,0,0,0
FRIENDS ADULT DIAPERS OVERNIGHT XL 10S*8,0,0,0,0,0,0,0,0,0,16,0,0
FRIENDS ADULT DIAPERS PANTS PREM L10s,29,9,5,7,0,328,8,22,16,8,17,0
FRIENDS ADULT DIAPERS PANTS PREM M10s,28,12,7,18,0,152,136,40,30,38,24,0
FRIENDS ADULT DIAPERS PANTS PREM XL10s,77,0,8,14,0,0,8,8,6,0,0,0
FRIENDS ADULT DRY PANTS LARGE 10P,0,0,0,0,0,0,24,0,48,0,0,0
FRIENDS ADULT DRY PANTS MEDIUM 10'S,0,0,8,0,0,140,0,0,0,0,0,0
FRIENDS ADULT PANTS CLASSIC LARGE 10*8,16,0,8,8,8,0,0,0,0,0,6,0
FRIENDS ADULT PANTS CLASSIC MEDIUM 10*8,0,0,0,8,0,8,0,0,8,6,0,0
FRIENDS ADULT PANTS CLASSIC XL 10*8,0,0,8,8,8,0,0,0,0,6,0,0
FRIENDS ADULT PANTS OVERNIGHT M10S*8,0,0,8,0,0,8,0,0,0,0,0,0
FRIENDS ADULT PANTS OVERNIGHT XL 10*8,0,0,0,0,0,0,0,0,0,8,0,0
GH AFR (3+1) 50g 135/-,0,0,0,0,0,0,0,0,6,6,0,0
GH AFR (3+1) 75g 195/-,0,0,0,0,0,0,0,0,6,6,0,0
GH AFR AROMA PERF CITRUS 10G 60/-,24,0,24,144,0,0,0,0,0,0,0,0
GH AFR AROMA PERF JASMINE 10G 60/-,30,8,8,16,0,0,6,0,0,8,0,0
GH AFR AROMA PERF LAVENDER 10G 60/-,144,24,0,144,0,0,7,0,0,144,0,0
GH AFR AROMA PERF ROSE 10G 60/-,48,16,6,14,0,4,0,4,0,6,0,0
GOODHOME AIR FRESHNER JASMINE 50G 50/-,0,6,6,0,6,0,6,4,0,12,4,0
GOODHOME AIR FRESHNER JASMINE 75G 85/,0,4,0,0,0,0,6,0,0,4,0,0
GOODHOME AIR FRESHNER LAVENDER 75G 85/-,0,0,0,60,0,0,0,0,0,0,0,0
GOODHOME AIR FRESHNER ROSE 50G 50/-,0,0,0,0,0,0,6,0,0,0,0,0
GOODHOME Drain Cleanser B3G1 50g,12,135,63,36,93,36,78,81,45,27,57,0
GOODHOME GLASS & MS CLEANER 500ML,0,0,0,0,0,0,0,0,6,0,6,0
