Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
CREMICA PIRI PIRI SAUCE 400 GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,6.0,48.0,0.0,89.0
CREMICA PIZZA PASTA SAUCE 200gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,12.0,0.0,42.0
CREMICA PIZZA PASTA SAUCE 300gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,114.0,44.0,205.0
CREMICA PUDINA CHATAKA 460g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,12.0,0.0,32.0,80.0
CREMICA RUSIAN SALAD DRESSING 350g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,12.0,12.0,48.0
CREMICA SAND SPR CHEESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,335.0,447.0,850.0
CREMICA SAND SPR CLASSIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,240.0,192.0,444.0
CREMICA SAND SPR PIRI PIRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,36.0,48.0,12.0,132.0
CREMICA SAND SPR TANDOORI 270GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.0,36.0,204.0,263.0
CREMICA SNACK DRES TOMBO 1.2KG      ,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
CREMICA TARTAR  MAYO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,24.0,0.0,39.0
CREMICA THOU ISLA DRESSING 275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,12.0,12.0,48.0
CREMICA THOU ISLAND SALAD DRESSING 350g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
CREMICA TOM KETCHUP GB 950GM     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,48.0,972.0,324.0,300.0,1668.0
CREMICA TOM KETCHUP SQUEASY 950GM     ,0.0,0.0,0.0,0.0,0.0,120.0,3948.0,324.0,780.0,1128.0,4308.0,4389.0,14997.0
CREMICA TOMATO KETCHUP 450 GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,180.0
CREMICA TOMATO KETCHUP SACHET 8G*100,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
CREMICA TOMATO SAUCE TOMBO 8G*100      ,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Cremica Veg Mayo Squeeze  900gm,0.0,0.0,0.0,0.0,0.0,130.0,0.0,103.0,76.0,645.0,1073.0,48.0,2068.0
Denver Deo Blackcode 100G 199/-,17.0,138.0,27.0,550.0,600.0,59.0,22.0,72.0,612.0,24.0,659.0,0.0,2780.0
Denver Deo BlueSport 100G 199/-,0.0,0.0,0.0,531.0,6.0,600.0,0.0,36.0,611.0,36.0,480.0,36.0,2272.0
Denver Deo Caliber 105gm 210/-,24.0,483.0,29.0,114.0,48.0,15.0,0.0,28.0,23.0,24.0,24.0,60.0,872.0
Denver Deo Caliber 127gm 249/-,1.0,0.0,0.0,360.0,480.0,0.0,0.0,0.0,0.0,684.0,360.0,0.0,1885.0
Denver Deo Hamilton 105gm 210/-,486.0,354.0,295.0,477.0,423.0,333.0,204.0,234.0,204.0,372.0,300.0,240.0,3922.0
Denver Deo Hamilton 127gm 249/-,94.0,366.0,480.0,606.0,6.0,733.0,24.0,18.0,646.0,744.0,900.0,0.0,4617.0
Denver Deo Honour 105gm 210/-,695.0,608.0,601.0,693.0,642.0,627.0,855.0,443.0,676.0,381.0,435.0,371.0,7027.0
Denver Deo Honour 127gm 249/-,0.0,360.0,0.0,360.0,0.0,1.0,0.0,0.0,480.0,24.0,0.0,59.0,1284.0
Denver Deo Imperial 105gm 210/-,800.0,1239.0,837.0,843.0,840.0,657.0,1050.0,646.0,756.0,564.0,1008.0,797.0,10037.0
Denver Deo Imperial 127gm 249/-,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,384.0
Denver Deo Original 150ml 199/-,18.0,39.0,0.0,540.0,600.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,1677.0
Denver Deo Prestige 105gm 210/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,384.0
Denver Deo Pride 105gm 210/-,901.0,819.0,784.0,695.0,851.0,599.0,951.0,579.0,750.0,482.0,677.0,768.0,8856.0
Denver Deo Pride 127gm 249/-,0.0,360.0,0.0,360.0,0.0,480.0,0.0,0.0,0.0,0.0,480.0,6.0,1686.0
Denver Deo Royal Oud 150ml 210/-,0.0,360.0,0.0,480.0,480.0,0.0,0.0,0.0,600.0,0.0,360.0,0.0,2280.0
Denver Deo Xtreme Endurance 100G 199/-,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Denver Deo Xtreme Performance100G 199/-,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Denver Deo Xtreme Reverence 100G 199/-,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Denver Perfume Blackcode 60ml 249/-,0.0,360.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,2040.0
Denver Perfume Hamilton 60ml 299/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Denver Perfume Imperial 60ml 299/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Denver Perfume Original 60ml 249/-,0.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,1440.0
Doy Hydrating Milk Soap 125gm*4 120/,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,117.0
Doy Soap  Aloevera Natural 125gm*4 120/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
Emami 7 Oils in One 100ml,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Emami Hair Color Burgundy 30/-,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Emami Hair Color Cherry Red 30/-,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Emami Hair Color D Brown,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Emami Hair Color N Black,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Emami Hair Color N Brown,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Envy 1000 Deo Absolute 97G 199/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0
Envy 1000 Deo Crystal Texas Heat 135ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envy 1000 Deo Dark 97G 199/-,0.0,372.0,7.0,486.0,0.0,6.0,0.0,0.0,5.0,24.0,12.0,12.0,923.0
Envy 1000 Deo Fiery 100G 199/-,0.0,372.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0
Envy 1000 Deo Force 97G 199/-,12.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Envy 1000 Deo Luv 97G,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Envy 1000 Deo Noir 97G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,384.0
Envy 1000 Deo Rouge 97G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy 1000 Deo Speed 97G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy Perfume Men 30ml 145/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy Perfume Women 30ml 145/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy Smart Bang 90G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy Smart Burst 90G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
Envy Smart Explode 90G 199/-,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
EVA BODY SPRAY FRESH 125ML,628.0,918.0,348.0,169.0,412.0,213.0,81.0,447.0,85.0,474.0,114.0,127.0,4016.0
EVA DEO SPRAY BLUSH 125ML,346.0,373.0,242.0,103.0,206.0,42.0,53.0,128.0,162.0,446.0,33.0,44.0,2178.0
EVA DEO SPRAY COMBI 125ML 198/,0.0,0.0,0.0,0.0,249.0,90.0,249.0,204.0,162.0,171.0,105.0,27.0,1257.0
EVA DEO SPRAY COMBI 125ML 280/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,24.0,312.0
EVA DEO SPRAY DEW 125ML,154.0,97.0,88.0,9.0,36.0,12.0,28.0,31.0,14.0,33.0,4.0,26.0,532.0
EVA DEO SPRAY DOLL 125ML,703.0,747.0,268.0,199.0,541.0,223.0,129.0,461.0,162.0,804.0,77.0,88.0,4402.0
EVA DEO SPRAY ECSTACY 125ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA DEO SPRAY FLIRT 125ML,171.0,48.0,117.0,6.0,75.0,45.0,33.0,18.0,6.0,33.0,27.0,24.0,603.0
EVA DEO SPRAY GLEE 125ML,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
EVA DEO SPRAY GROOVE 125ML,28.0,70.0,100.0,30.0,36.0,19.0,15.0,36.0,1.0,6.0,12.0,0.0,353.0
EVA DEO SPRAY SWEET 125ML,538.0,798.0,286.0,167.0,523.0,211.0,94.0,409.0,99.0,546.0,77.0,97.0,3845.0
EVA DEO SPRAY URBANE 125ML,0.0,0.0,179.0,51.0,85.0,29.0,15.0,41.0,18.0,48.0,11.0,2.0,478.0
EVA DEO SPRAY WILD 125ML,458.0,462.0,191.0,98.0,343.0,37.0,94.0,150.0,146.0,453.0,30.0,73.0,2535.0
EVA DEO TALC FRESH 100GMS,482.0,379.0,86.0,30.0,120.0,17.0,6.0,6.0,1.0,6.0,17.0,0.0,1150.0
EVA DEO TALC FRESH 400GMS,33.0,102.0,7.0,4.0,0.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,182.0
EVA DEO TALC SANDAL 100G,102.0,284.0,46.0,12.0,126.0,0.0,0.0,0.0,4.0,5.0,8.0,5.0,590.0
EVA DEO TALC SWEET 100GMS,452.0,246.0,125.0,55.0,144.0,11.0,18.0,6.0,0.0,6.0,12.0,0.0,1046.0
EVA DEO TALC SWEET 400GMS,121.0,58.0,55.0,5.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,6.0,264.0
EVA DEO WHITENING FLORAL FUSION 125 ML,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
EVA DEOSPRAY WHITENING  FLORAL 150 ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
