Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
27211 Happilo Prem Seeds & Nuts Mix 250g,0.0,20.0,80.0,15.0,30.0,0.0,40.0,59.0,0.0,0.0,40.0,0
27235 Happilo Prm 10in1Seeds & Nuts Mix,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27464 HP SS Makhana Perky Pudina 60g(99),0.0,0.0,0.0,150.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0
27471 HP SS Makhana Peri Peri 60g (99),0.0,0.0,0.0,150.0,0.0,45.0,75.0,15.0,60.0,0.0,15.0,0
27563 Happilo Prem Intl Fitness Mix 160g,60.0,10.0,65.0,24.0,60.0,0.0,15.0,26.0,0.0,0.0,50.0,0
27570 Happilo Prem Intl Health Mix 160g,10.0,10.0,51.0,60.0,30.0,18.0,50.0,40.0,10.0,0.0,40.0,0
27587 Happilo Prm Intrn Champion Mix 160,20.0,11.0,47.0,25.0,40.0,10.0,50.0,20.0,10.0,0.0,25.0,0
28034 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0
28072 Happilo Dry Fruit CP GB Gardenia,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0
28164 Happilo Dry Fruit Celeb Orchid 1kg,0.0,0.0,0.0,0.0,0.0,0.0,36.0,262.0,0.0,0.0,0.0,0
28393 HP SS Makhana Chilli Garlic 60g (9,0.0,0.0,0.0,150.0,0.0,60.0,45.0,75.0,0.0,0.0,75.0,0
28409 HP SS Makhana Pink S&P 60g (99),0.0,0.0,0.0,150.0,0.0,55.0,0.0,60.0,15.0,0.0,44.0,0
28423 HP SS Makhana Cream&Onion 60g (99),0.0,0.0,0.0,150.0,0.0,45.0,0.0,60.0,15.0,0.0,45.0,0
28744 HP Cranberry Cashew DF Bar35g (70),0.0,0.0,0.0,432.0,144.0,0.0,138.0,288.0,0.0,0.0,0.0,0
28751 HP Rose Almond DF Bar 35g (70),0.0,0.0,0.0,432.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28768 HP Walnuts DF Bar 35g (70),0.0,0.0,0.0,432.0,372.0,0.0,0.0,144.0,0.0,0.0,0.0,0
28775 HP Pista DF Bar 35g (70),0.0,0.0,0.0,432.0,253.0,0.0,0.0,144.0,0.0,0.0,144.0,0
28782 HP Choco Almond DF Bar 35g (70),0.0,0.0,0.0,432.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29215 HP Blueberries DF Bar 35g (70),0.0,0.0,0.0,432.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0,0
29642 HP CB DF Bar Asrtd (15gX2X6) 180g,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
