Item Details,Unit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
Denver Deo Rider 127G 265/-,PCS,0,0,600,0,0,0,0,0,0,0,0,0,600
Denver Deo Victor 127G 280/-,PCS,0,0,900,300,0,0,1800,0,0,900,720,0,4620
Denver Facewash Acne Clear 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Facewash Deep Clean 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Facewash Oil Clear 100G 225/-,PCS,0,720,0,0,0,0,0,0,0,0,0,0,720
Denver Hamilton Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Imperial Deo Cap,PCS,0,0,0,0,30,0,0,0,0,0,0,0,30
Denver Perfume Blackcode 70ml 349/-,PCS,0,0,0,0,0,0,0,0,0,1824,1200,0,3024
Denver Victor Deo Cap,PCS,0,0,0,0,25,0,0,0,0,0,0,0,25
EARTHFRESH BROWN CHANA 500G POUCH,PCS,0,0,0,0,0,0,0,0,300,60,120,0,480
EARTHFRESH CHANA BESAN 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,0,60,0,300
EARTHFRESH CHANA DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,0,0,240,0,240
EARTHFRESH GOBINDO BHOG RICE 1KG,PCS,0,0,0,0,0,0,0,0,0,0,270,0,270
EARTHFRESH GREEN MOONG 500G POUCH,PCS,0,0,0,0,0,0,0,0,300,60,60,0,420
EARTHFRESH KABULI CHANA 500G POUCH,PCS,0,0,0,0,0,0,0,0,420,100,120,0,640
EARTHFRESH KASHMIRI RAJMA 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,60,60,0,360
EARTHFRESH MASOOR MALKA 500G POUCH,PCS,0,0,0,0,0,0,0,0,360,60,120,0,540
EARTHFRESH MATAR 500G POUCH,PCS,0,0,0,0,0,0,0,0,360,60,90,0,510
EARTHFRESH MOONG DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,240,60,120,0,420
EARTHFRESH TOOR DAL 1KG,PCS,0,0,0,0,0,0,0,0,240,60,60,0,360
EARTHFRESH URAD DAL 500G POUCH,PCS,0,0,0,0,0,0,0,0,180,60,60,0,300
Envy Perfume Men 70ml Black 349/-,PCS,0,0,0,-1,1200,1200,2256,0,1440,624,0,0,6719
Envy Perfume Women 70ml White 349/-,PCS,0,0,0,0,1200,0,0,1344,0,720,0,0,3264
EVA BODY SPRAY DOLL 150ML,PCS,18,-1,0,1104,0,0,607,0,0,24,0,0,1752
EVA BODY SPRAY FRESH 125ML,PCS,1515,12,21,603,612,0,12,618,9,3,6,0,3411
EVA BODY SPRAY FRESH 150ML,PCS,204,24,0,360,0,0,1212,0,0,24,0,0,1824
EVA BODY SPRAY SWEET 150ML,PCS,0,24,0,0,0,0,12,0,0,24,0,0,60
EVA BODY SPRAY WILD 150ML,PCS,204,24,0,360,0,0,1212,0,0,0,0,0,1800
EVA DEO SPRAY BLUSH 125ML,PCS,18,24,9,0,3,0,3,6,3,12,0,0,78
EVA DEO SPRAY COMBI 125ML 285/-,PCS,6,131,69,36,63,60,78,6,24,12,81,0,566
EVA DEO SPRAY COMBI 150ML,PCS,9,0,51,12,42,0,0,96,39,9,0,0,258
EVA DEO SPRAY COMBI 2G1 150ML 400/,PCS,18,112,80,388,57,31,64,74,33,25,60,0,942
EVA DEO SPRAY DEW 125ML,PCS,6,0,0,0,0,0,0,0,0,0,0,0,6
