Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
CREMICA CHIPOTLE SAND SPREAD 275G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,1339.97,24.00,1398.22,22.00,1281.72,48.00,2740.44,165.00,9277.38,282.00,16037.73
CREMICA CHIPOTLE SAUCE 435 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,2169.64,12.00,1084.82,0.00,0.00,24.00,1996.08,12.00,1084.80,72.00,6335.34
CREMICA CHOCOLATE SYRUP 700g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,8232.00,0.00,0.00,0.00,0.00,168.00,23121.88,461.00,48686.91,27.00,3763.53,2482.00,241285.92,3210.00,325090.24
CREMICA FRENCH FRIES CLASSIC 75Gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,888.00,23025.84,0.00,0.00,0.00,0.00,32.00,829.76,0.00,0.00,920.00,23855.60
CREMICA IMLI CHATAKA 500g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,942.64,12.00,942.64,24.00,1848.24,12.00,924.00,12.00,942.60,72.00,5600.12
CREMICA MAYO BURGER 275g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,1048.66,6.00,349.56,6.00,349.56,48.00,2754.46,24.00,1398.24,102.00,5900.48
CREMICA MAYO CARROT & CUCUMBER,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1398.24,12.00,713.14,12.00,699.12,48.00,2810.50
CREMICA MAYO EGG PET 275GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,647.58,0.00,0.00,24.00,1282.42,12.00,634.82,32.00,1688.56,157.00,8179.52,6.00,323.76,243.00,12756.66
CREMICA MAYO LITE 275g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1269.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1269.64
CREMICA MAYO VEG PET 275GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,647.56,0.00,0.00,21.00,1117.43,12.00,634.82,26.00,1368.10,111.00,5781.33,94.00,4979.90,276.00,14529.14
